Data;Loja;Faturamento;Pedidos;Ticket Médio
01/08/2025;Ijuí;R$ 78.326,00;1549;R$ 50,57
01/09/2025;Montenegro;R$ 83.876,00;1649;R$ 50,86
01/09/2025;Canoas;R$ 93.156,00;1923;R$ 48,44
01/09/2025;Porto Alegre Zona Norte;R$ 12.892,00;345;R$ 37,37
01/09/2025;São Leopoldo;R$ 90.023,00;1797;R$ 50,10
01/09/2025;Novo Hamburgo;R$ 109.717,00;2236;R$ 49,07
01/09/2025;Barra Shopping;R$ 70.585,00;1989;R$ 35,49
01/09/2025;Porto Alegre Floresta;R$ 60.705,00;1564;R$ 38,81
01/09/2025;Sapiranga;R$ 81.750,00;1739;R$ 47,01
01/09/2025;Gravataí;R$ 44.029,00;915;R$ 48,12
01/09/2025;Caxias do Sul;R$ 153.153,00;2834;R$ 54,04
01/09/2025;Bento Gonçalves;R$ 64.592,00;1187;R$ 54,42
01/09/2025;Lajeado;R$ 59.053,00;1264;R$ 46,72
01/09/2025;Erechim;R$ 31.347,00;714;R$ 43,90
01/09/2025;Protásio Alves;R$ 95.010,00;2052;R$ 46,30
01/09/2025;Esteio;R$ 88.289,00;1872;R$ 47,16
01/09/2025;Capão da Canoa;R$ 43.024,00;1019;R$ 42,22
01/09/2025;Ijuí;R$ 78.326,00;1549;R$ 50,57
01/09/2025;Campo Bom;R$ 68.846,44;1080;R$ 63,75
01/10/2025;Montenegro;R$ 78.496,51;1504;R$ 52,19
01/10/2025;Canoas;R$ 85.420,00;1767;R$ 48,34
01/10/2025;Porto Alegre Zona Norte;R$ 8.891,55;204;R$ 43,59
01/10/2025;São Leopoldo;R$ 96.277,01;1911;R$ 50,38
01/10/2025;Novo Hamburgo;R$ 117.784,50;2312;R$ 50,94
01/10/2025;Barra Shopping;R$ 74.146,47;2106;R$ 35,21
01/10/2025;Porto Alegre Floresta;R$ 56.576,00;1360;R$ 41,60
01/10/2025;Sapiranga;R$ 72.188,20;1491;R$ 48,42
01/10/2025;Gravataí;R$ 44.066,39;919;R$ 47,95
01/10/2025;Caxias do Sul;R$ 142.201,57;2520;R$ 56,43
01/10/2025;Bento Gonçalves;R$ 56.958,15;1063;R$ 53,58
01/10/2025;Lajeado;R$ 49.040,14;1009;R$ 48,60
01/10/2025;Erechim;R$ 349,46;4;R$ 87,37
01/10/2025;Protásio Alves;R$ 88.353,95;1922;R$ 45,97
01/10/2025;Esteio;R$ 83.281,80;1763;R$ 47,24
01/10/2025;Capão da Canoa;R$ 45.065,04;1060;R$ 42,51
01/10/2025;Ijuí;R$ 77.392,56;1509;R$ 51,29
01/10/2025;Campo Bom;R$ 70.145,03;1379;R$ 50,87
