Data;Loja;Faturamento;Pedidos;Ticket Médio
01/07/2024;Novo Hamburgo;R$ 124.444,11;2551;R$ 48,78
01/07/2024;Esteio;R$ 114.141,93;2357;R$ 48,43
01/07/2024;São Leopoldo;R$ 108.337,81;1905;R$ 56,87
01/07/2024;Barra Shopping;R$ 92.663,15;3124;R$ 29,66
01/07/2024;Protásio Alves;R$ 77.444,15;1744;R$ 44,41
01/07/2024;Montenegro;R$ 77.268,70;1449;R$ 53,33
01/07/2024;Erechim;R$ 76.299,95;1835;R$ 41,58
01/07/2024;Canoas;R$ 70.092,97;1286;R$ 54,50
01/07/2024;Sapiranga;R$ 64.509,84;1403;R$ 45,98
01/07/2024;Lajeado;R$ 61.190,87;1233;R$ 49,63
01/07/2024;Floresta;R$ 48.956,25;1132;R$ 43,25
01/07/2024;Gravataí;R$ 42.791,32;866;R$ 49,41
01/07/2024;Bento Gonçalves;R$ 40.737,98;749;R$ 54,39
01/08/2024;Caxias do Sul;R$ 140.785,42;2417;R$ 58,25
01/08/2024;Novo Hamburgo;R$ 128.775,61;2609;R$ 49,36
01/08/2024;Canoas;R$ 111.011,97;2108;R$ 52,66
01/08/2024;Esteio;R$ 107.613,59;2239;R$ 48,06
01/08/2024;São Leopoldo;R$ 102.219,21;1854;R$ 55,13
01/08/2024;Erechim;R$ 91.070,88;2153;R$ 42,30
01/08/2024;Barra Shopping;R$ 79.503,36;2669;R$ 29,79
01/08/2024;Sapiranga;R$ 76.528,11;1799;R$ 42,54
01/08/2024;Montenegro;R$ 74.545,34;1421;R$ 52,46
01/08/2024;Protásio Alves;R$ 74.255,98;1728;R$ 42,97
01/08/2024;Lajeado;R$ 47.945,86;998;R$ 48,04
01/08/2024;Floresta;R$ 47.647,18;1151;R$ 41,40
01/08/2024;Bento Gonçalves;R$ 42.220,78;799;R$ 52,84
01/08/2024;Gravataí;R$ 41.265,69;850;R$ 48,55
01/08/2024;Zona Norte;R$ 5.052,35;131;R$ 38,57
01/09/2024;Caxias do Sul;R$ 141.996,81;2502;R$ 56,75
01/09/2024;Novo Hamburgo;R$ 107.210,77;2301;R$ 46,59
01/09/2024;Esteio;R$ 105.540,66;2255;R$ 46,80
01/09/2024;Canoas;R$ 95.268,57;1780;R$ 53,52
01/09/2024;São Leopoldo;R$ 92.945,77;1763;R$ 52,72
01/09/2024;Barra Shopping;R$ 77.426,87;2620;R$ 29,55
01/09/2024;Sapiranga;R$ 71.939,29;1745;R$ 41,23
01/09/2024;Montenegro;R$ 71.189,06;1426;R$ 49,92
01/09/2024;Protásio Alves;R$ 60.922,70;1405;R$ 43,36
01/09/2024;Lajeado;R$ 49.130,61;1095;R$ 44,87
01/09/2024;Gravataí;R$ 44.314,30;1007;R$ 44,01
01/09/2024;Bento Gonçalves;R$ 38.636,81;729;R$ 53,00
01/09/2024;Floresta;R$ 37.358,14;974;R$ 38,36
01/09/2024;Zona Norte;R$ 5.196,97;136;R$ 38,21
01/10/2024;Caxias do Sul;R$ 142.674,81;2565;R$ 55,62
01/10/2024;Novo Hamburgo;R$ 108.829,32;2345;R$ 46,41
01/10/2024;Esteio;R$ 107.012,63;2331;R$ 45,91
01/10/2024;São Leopoldo;R$ 97.405,54;1961;R$ 49,67
01/10/2024;Erechim;R$ 96.549,47;2379;R$ 40,58
01/10/2024;Canoas;R$ 90.896,16;1716;R$ 52,97
01/10/2024;Barra Shopping;R$ 88.359,70;2863;R$ 30,86
01/10/2024;Montenegro;R$ 77.197,76;1622;R$ 47,59
01/10/2024;Protásio Alves;R$ 65.273,52;1483;R$ 44,01
01/10/2024;Gravataí;R$ 55.357,33;1226;R$ 45,15
01/10/2024;Lajeado;R$ 52.914,67;1143;R$ 46,29
01/10/2024;Bento Gonçalves;R$ 43.387,18;826;R$ 52,53
01/10/2024;Floresta;R$ 39.144,54;1012;R$ 38,68
01/10/2024;Zona Norte;R$ 5.209,72;166;R$ 31,38
01/11/2024;Caxias do Sul;R$ 140.032,72;2447;R$ 57,23
01/11/2024;Esteio;R$ 114.211,14;2419;R$ 47,21
01/11/2024;São Leopoldo;R$ 103.129,69;2067;R$ 49,89
01/11/2024;Novo Hamburgo;R$ 102.653,05;1879;R$ 54,63
01/11/2024;Barra Shopping;R$ 100.780,77;3236;R$ 31,14
01/11/2024;Canoas;R$ 90.609,35;1694;R$ 53,49
01/11/2024;Erechim;R$ 90.221,21;2166;R$ 41,65
01/11/2024;Montenegro;R$ 85.892,07;1823;R$ 47,12
01/11/2024;Sapiranga;R$ 69.224,49;1513;R$ 45,75
01/11/2024;Protásio Alves;R$ 65.867,97;1468;R$ 44,87
01/11/2024;Gravataí;R$ 57.332,13;1278;R$ 44,86
01/11/2024;Capão da Canoa;R$ 56.077,36;1248;R$ 44,93
01/11/2024;Lajeado;R$ 55.496,73;1169;R$ 47,47
01/11/2024;Bento Gonçalves;R$ 46.826,86;866;R$ 54,07
01/11/2024;Floresta;R$ 33.171,46;846;R$ 39,21
01/12/2024;Caxias do Sul;R$ 150.270,33;2582;R$ 58,20
01/12/2024;Barra Shopping;R$ 131.492,62;4056;R$ 32,42
01/12/2024;Novo Hamburgo;R$ 105.258,11;2007;R$ 52,45
01/12/2024;São Leopoldo;R$ 104.515,80;2029;R$ 51,51
01/12/2024;Esteio;R$ 102.495,07;2285;R$ 44,86
01/12/2024;Montenegro;R$ 99.601,78;2124;R$ 46,89
01/12/2024;Erechim;R$ 93.095,12;2103;R$ 44,27
01/12/2024;Sapiranga;R$ 86.526,51;1915;R$ 45,18
01/12/2024;Canoas;R$ 85.316,04;1575;R$ 54,17
